NAME,QUANTITY_TYPE,CATALOG_NAME,CATALOG_SYMBOL,RP66_SYMBOL,BASE_UNIT,A,B,C,D
per pounds/square inch,bulk compressibility,POSC,1/psi,1/psi,1/Pa,0,1,6.894.757,0
per pounds/square inch,compressibility,POSC,1/psi,1/psi,1/Pa,0,1,6.894.757,0
per micro pounds per square inch,bulk compressibility,POSC,1/upsi,1/upsi,1/Pa,0,1,0.006894757,0
per micro pounds per square inch,compressibility,POSC,1/upsi,1/upsi,1/Pa,0,1,0.006894757,0
per microvolt,per electric potential,POSC,1/uV,1/uV,1/V,0,1000000,1,0
per week,per time,POSC,1/wk,1/uV,1/s,0,1,604800,0
per yard,per length,POSC,1/yd,1/uV,1/m,0,1,0.9144,0
thousand cubic feet,volume,POSC,1000ft3,1/uV,m3,0,28.316.846.592,1,0
thousand cubic feet per barrel,volume per volume,POSC,1000ft3/bbl,1/uV,Euc,0,28.316.846.592,0.1589873,0
thousand cubic feet per day,volume flow rate,POSC,1000ft3/d,1/uV,m3/s,0,2.831.685,86400,0
thousand cubic feet per day per foot,volume per time per length,POSC,1000ft3/d.ft,1/uV,m2/s,0,9.290.304,86400,0
thousand cubic feet per day per psi,productivity index,POSC,1000ft3/psi.d,1/uV,m3/Pa.s,0,2.831.685,595707004.8,0
thousand cubic metres per day,volume flow rate,POSC,1000m3/d,1/uV,m3/s,0,1000,86400,0
thousand cubic meter per day per meter,volume per time per length,POSC,1000m3/d.m,km3/(d.m),m2/s,0,1000,86400,0
thousand cubic metres per hour,volume flow rate,POSC,1000m3/h,km3/(d.m),m3/s,0,1000,3600,0
thousand cubic meters per hour per meter,volume per time per length,POSC,1000m3/h.m,km3/(h.m),m2/s,0,1000,3600,0
thousand (cubic meter per day)-meter,volume length per time,POSC,1000m4/d,km3/(h.m),m4/s,0,1000,86400,0
100000 years,time,POSC,100ka,km3/(h.m),s,0,3.15582E+12,1,0
ten thousand kilograms per cubic metre,density,POSC,10Mg/m3,km3/(h.m),kg/m3,0,10000,1,0
ten thousand kilograms per cubic metre,mass density,POSC,10Mg/m3,km3/(h.m),kg/m3,0,10000,1,0
ten thousand kilograms per cubic metre,volumic mass,POSC,10Mg/m3,km3/(h.m),kg/m3,0,10000,1,0
annum,time,POSC,a,a,s,0,31558150,1,0
Ampere hour,electric capacity,POSC,A.h,A.h,C,0,3600,1,0
Ampere hour,electric charge,POSC,A.h,A.h,C,0,3600,1,0
Ampere hour,electric flux,POSC,A.h,A.h,C,0,3600,1,0
ampere per square centimeter,current density,POSC,A/cm2,A/cm2,A/m2,0,10000,1,0
ampere per square foot,current density,POSC,A/ft2,A/ft2,A/m2,0,1,0.09290304,0
Ampere/millimetre,linear electric current density,POSC,A/mm,A/mm,A/m,0,1000,1,0
Ampere/millimetre,magnetic field strength,POSC,A/mm,A/mm,A/m,0,1000,1,0
Ampere/millimetre,magnetization,POSC,A/mm,A/mm,A/m,0,1000,1,0
Ampere/square millimetre,current density,POSC,A/mm2,A/mm2,A/m2,0,1000000,1,0
acre,area,POSC,acre,acre,m2,0,4.046.873,1,0
acre foot,volume,POSC,acre.ft,acre.ft,m3,0,1.233.489,1,0
acre feet/million stbs. 60 deg F,volume per standard volume,POSC,acre.ft/MMstb,acre.ft,m3/scm(15C),0,1.233.489,158987.3,0
attogram,mass,POSC,ag,ag,kg,0,1.00E-21,1,0
attojoule,energy,POSC,aJ,aJ,J,0,1.00E-18,1,0
attojoule,work,POSC,aJ,aJ,J,0,1.00E-18,1,0
Angstrom,length,POSC,angstrom,aJ,m,0,0.0000000001,1,0
Technical atmosphere,force per area,POSC,at,aJ,Pa,0,98066.5,1,0
Technical atmosphere,pressure,POSC,at,aJ,Pa,0,98066.5,1,0
Atmosphere,force per area,POSC,atm,atm,Pa,0,101325,1,0
Atmosphere,pressure,POSC,atm,atm,Pa,0,101325,1,0
Atmospheres per ft,force per volume,POSC,atm/ft,atm/ft,Pa/m,0,101325,0.3048,0
Atmospheres per ft,pressure per length,POSC,atm/ft,atm/ft,Pa/m,0,101325,0.3048,0
atmosphere per hour,pressure per time,POSC,atm/h,atm/h,Pa/s,0,101325,3600,0
Atmospheres per hundred metre,force per volume,POSC,atm/hm,atm/h,Pa/m,0,101325,100,0
Atmospheres per hundred metre,pressure per length,POSC,atm/hm,atm/h,Pa/m,0,101325,100,0
Atmospheres/metre,force per volume,POSC,atm/m,atm/m,Pa/m,0,101325,1,0
Atmospheres/metre,pressure per length,POSC,atm/m,atm/m,Pa/m,0,101325,1,0
barn,area,POSC,b,b,m2,0,1.00E+28,1,0
barns/cubic centimetre,area per volume,POSC,b/cm3,b/cm3,1/m,0,1.00E+34,1,0
barns/electron,cross section absorption,POSC,b/elec,b/cm3,m2/mol,0,0.00006023,1,0
bar,force per area,POSC,bar,bar,Pa,0,100000,1,0
bar,pressure,POSC,bar,bar,Pa,0,100000,1,0
bar per hour,pressure per time,POSC,bar/h,bar/h,Pa/s,0,100000,3600,0
bar per kilometer,force per volume,POSC,bar/km,bar/km,Pa/m,0,100,1,0
bar per kilometer,pressure per length,POSC,bar/km,bar/km,Pa/m,0,100,1,0
bar per meter,force per volume,POSC,bar/m,bar/m,Pa/m,0,100000,1,0
bar per meter,pressure per length,POSC,bar/m,bar/m,Pa/m,0,100000,1,0
bar squared,pressure squared,POSC,bar2,bar2,Pa2,0,10000000000,1,0
bar squared per centipoise,pressure squared per (dynamic viscosity),POSC,bar2/cP,bar2/cP,Pa/s,0,1.E+13,1,0
barrel,volume,POSC,bbl,bbl,m3,0,0.1589873,1,0
barrel per hundred barrel,volume per volume,POSC,bbl/100bbl,bbl,Euc,0,0.01,1,0
barrels/acre,volume per area,POSC,bbl/acre,bbl/acre,m,0,0.1589873,4.046.879,0
barrel/acre foot,volume per volume,POSC,bbl/acre.ft,bbl/acre.ft,Euc,0,0.1589873,1.233.489,0
barrel/barrel,volume per volume,POSC,bbl/bbl,bbl/bbl,Euc,0,1,1,0
barrels/centiPoise day psi,specific productivity index,POSC,bbl/cP.d.psi,bbl/cP.d.psi,m3/Pa2.s2,0,0.1589873,595707,0
barrel/day,volume flow rate,POSC,bbl/d,bbl/d,m3/s,0,0.1589873,86400,0
barrels/day acre foot,volume per time per volume,POSC,bbl/d.acre.ft,bbl/d.acre.ft,1/s,0,0.1589873,106573450,0
barrels/day foot,volume per time per length,POSC,bbl/d.ft,bbl/d.ft,m2/s,0,0.1589873,26334.72,0
barrels/day foot,volume per time per length,POSC,bbl/d.ft,bbl/(d.ft),m2/s,0,0.1589873,26334.72,0
barrels/day foot pounds/sq in,unit productivity index,POSC,bbl/d.ft.psi,bbl/d.ft.psi,m2/Pa.s,0,0.000000000266888418,0.3048,0
barrel/day pounds/square inch,productivity index,POSC,bbl/d.psi,bbl/d.psi,m3/Pa.s,0,0.000000000266888418,1,0
barrel/day pounds/square inch,productivity index,POSC,(Deprecated),bbl/d.psi,m3/Pa.s,0,0.000000000266888418,1,0
barrels/day per day,volume per time per time,POSC,bbl/d2,bbl/d2,m3/s2,0,0.0000000000212978,1,0
barrel/foot,volume per length,POSC,bbl/ft,bbl/ft,m2,0,0.1589873,0.3048,0
barrel per cubic foot,volume per volume,POSC,bbl/ft3,bbl/ft3,Euc,0,0.1589873,0.02831685,0
barrel/hour,volume flow rate,POSC,bbl/hr,bbl/hr,m3/s,0,0.1589873,3600,0
barrels/hour/hour,volume per time per time,POSC,bbl/hr2,bbl/hr2,m3/s2,0,0.1589873,12960000,0
barrel/inch,volume per length,POSC,bbl/in,bbl/in,m2,0,0.1589873,0.0254,0
barrel per thousand cubic feet,volume per volume,POSC,bbl/k(ft3),bbl/in,Euc,0,0.1589873,2.831.685,0
barrel per day per kilopascal,productivity index,POSC,bbl/kPa.d,bbl/kPa.d,m3/Pa.s,0,0.1589873,86400000,0
barrel per day per kilopascal,productivity index,POSC,bbl/kPa.d,bbl/(d.kPa),m3/Pa.s,0,0.1589873,86400000,0
barrel per million cubic feet,volume per volume,POSC,bbl/M(ft3),bbl/(d.kPa),Euc,0,0.1589873,28316.85,0
barrel/mile,volume per length,POSC,bbl/mi,bbl/mi,m2,0,0.1589873,1.609.344,0
barrel per minute,volume flow rate,POSC,bbl/min,bbl/min,m3/s,0,0.1589873,60,0
barrels/million std cubic feet. 60 degF,volume per standard volume,POSC,bbl/MMscf(60F),bbl/min,m3/scm(15C),0,0.1589873,28.262.357,0
barrel per day per psi,productivity index,POSC,bbl/psi.d,bbl/psi.d,m3/Pa.s,0,0.1589873,595707004.8,0
barrel per day per psi,productivity index,POSC,bbl/psi.d,bbl/(d.psi),m3/Pa.s,0,0.1589873,595707004.8,0
barrels/stock tank barrel. 60 deg F,volume per standard volume,POSC,bbl/stb(60F),bbl/(d.psi),m3/scm(15C),0,1,1,0
barrel per U.K. ton,specific volume,POSC,bbl/tonUK,bbl/tonUK,m3/kg,0,1.564.763,1,0
barrel per U.K. ton,massic volume,POSC,bbl/tonUK,bbl/tonUK,m3/kg,0,1.564.763,1,0
barrel per U.S. ton,specific volume,POSC,bbl/tonUS,bbl/tonUS,m3/kg,0,1.752.535,1,0
barrel per U.S. ton,massic volume,POSC,bbl/tonUS,bbl/tonUS,m3/kg,0,1.752.535,1,0
billion cubic feet,volume,POSC,bcf,bbl/tonUS,m3,0,28316850,1,0
bit,digital storage,POSC,bit,bbl/tonUS,byte,0,1,8,0
British thermal unit,energy,POSC,Btu,Btu,J,0,1.055.056,1,0
British thermal unit,work,POSC,Btu,Btu,J,0,1.055.056,1,0
Btus/hour foot squared deg F per inch,energy length per time area temperature,POSC,Btu.in/hr.ft2.F,Btu.in/h.ft2.degF,W/m.K,0,0.1442279,1,0
million Btus/hour,heat flow rate,POSC,Btu(million)/hr,Btu.in/h.ft2.degF,W,0,293071.1,1,0
million Btus/hour,heat flow rate,POSC,(Deprecated),Btu.in/h.ft2.degF,W,0,293071.1,1,0
British thermal units/barrel,normal stress,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,shear stress,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,modulus of elasticity,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,shear modulus,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,modulus of rigidity,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,bulk modulus,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,modulus of compression,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,electromagnetic energy density,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
British thermal units/barrel,radiant energy density,POSC,Btu/bbl,Btu/bbl,J/m3,0,1.055.056,0.1589873,0
Btus/brake-horsepower hour,relative power,POSC,Btu/bhp.hr,Btu/bbl,Euc,0,0.0003930148,1,0
British thermal units/cubic foot,normal stress,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,shear stress,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,modulus of elasticity,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,shear modulus,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,modulus of rigidity,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,bulk modulus,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,modulus of compression,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,electromagnetic energy density,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/cubic foot,radiant energy density,POSC,Btu/ft3,Btu/ft3,J/m3,0,37258.95,1,0
British thermal units/U.K. gallon,normal stress,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,shear stress,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,modulus of elasticity,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,shear modulus,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,modulus of rigidity,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,bulk modulus,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,modulus of compression,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,electromagnetic energy density,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.K. gallon,radiant energy density,POSC,Btu/galUK,Btu/galUK,J/m3,0,232080,1,0
British thermal units/U.S. gallon,normal stress,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,shear stress,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,modulus of elasticity,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,shear modulus,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,modulus of rigidity,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,bulk modulus,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,modulus of compression,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,electromagnetic energy density,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal units/U.S. gallon,radiant energy density,POSC,Btu/galUS,Btu/galUS,J/m3,0,278716.3,1,0
British thermal unit/hour,heat flow rate,POSC,Btu/hr,Btu/h,W,0,0.2930711,1,0
British thermal units/hour foot deg F,thermal conductivity,POSC,Btu/hr.ft.degF,Btu/h.ft.degF,W/m.K,0,1.730.735,1,0
Btus/hour per square foot,density of heat flow rate,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,poynting vector,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,radiant energy,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,fluence rate,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,radiant exitance,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,irradiance,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,sound intensity,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour per square foot,energy fluence rate,POSC,Btu/hr.ft2,Btu/h.ft2,W/m2,0,3.154.591,1,0
Btus/hour foot squared deg F,heat transfer coefficient,POSC,Btu/hr.ft2.degF,Btu/h.ft2.degF,W/m2.K,0,5.678.263,1,0
Btus/hour foot squared deg R,heat transfer coefficient,POSC,Btu/hr.ft2.degR,Btu/hr.ft2.degR,W/m2.K,0,5.678.263,1,0
British thermal units/hour cubic foot,power per volume,POSC,Btu/hr.ft3,Btu/h.ft3,W/m3,0,1.034.971,1,0
Btus/hour foot cubed deg F,volumetric heat transfer coefficient,POSC,Btu/hr.ft3.degF,Btu/h.ft3.degF,W/m3.K,0,1.862.947,1,0
Btus/hour metre squared deg C,heat transfer coefficient,POSC,Btu/hr.m2.degC,Btu/h.m2.degC,W/m2.K,0,0.2930711,1,0
British thermal units/pound mass,specific energy,POSC,Btu/lbm,Btu/lbm,J/kg,0,2326,1,0
British thermal units/pound mass deg F,specific heat capacity,POSC,Btu/lbm.degF,Btu/lbm.degF,J/kg.K,0,4186.8,1,0
British thermal units/pound mass deg F,massic heat capacity,POSC,Btu/lbm.degF,Btu/lbm.degF,J/kg.K,0,4186.8,1,0
British thermal units/pound mass deg R,specific heat capacity,POSC,Btu/lbm.degR,Btu/lbm.degR,J/kg.K,0,4186.8,1,0
British thermal units/pound mass deg R,massic heat capacity,POSC,Btu/lbm.degR,Btu/lbm.degR,J/kg.K,0,4186.8,1,0
British thermal units/minute,heat flow rate,POSC,Btu/min,Btu/min,W,0,1.758.427,1,0
British thermal units/pound mass mol,molar thermodynamic energy,POSC,Btu/lbmole,Btu/min,J/mol,0,2.326,1,0
British thermal units/pound mass mol,chemical potential,POSC,Btu/lbmole,Btu/min,J/mol,0,2.326,1,0
British thermal units/pound mass mol,affinity of a chemical reaction,POSC,Btu/lbmole,Btu/min,J/mol,0,2.326,1,0
British thermal units/pound mass mol,molar thermodynamic energy,POSC,Btu/mol(lbm),Btu/min,J/mol,0,2326,1,0
British thermal units/pound mass mol,chemical potential,POSC,(Deprecated),Btu/min,J/mol,0,2326,1,0
British thermal units/pound mass mol,affinity of a chemical reaction,POSC,(Deprecated),Btu/min,J/mol,0,2326,1,0
Btus/pound mass mol deg F,molar heat capacity,POSC,Btu/lbmole.F,Btu/min,J/mol.K,0,41.868,1,0
Btus/pound mass mol deg F,molar entropy,POSC,Btu/lbmole.F,Btu/min,J/mol.K,0,41.868,1,0
Btus/pound mass mol deg F,molar gas constant,POSC,Btu/lbmole.F,Btu/min,J/mol.K,0,41.868,1,0
Btus/pound mass mol deg F,molar heat capacity,POSC,Btu/mol(lbm).F,Btu/min,J/mol.K,0,4186.8,1,0
Btus/pound mass mol deg F,molar entropy,POSC,(Deprecated),Btu/min,J/mol.K,0,4186.8,1,0
Btus/pound mass mol deg F,molar gas constant,POSC,(Deprecated),Btu/min,J/mol.K,0,4186.8,1,0
British thermal units/second,heat flow rate,POSC,Btu/s,Btu/s,W,0,1.055.056,1,0
British thermal units/second square foot,density of heat flow rate,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,poynting vector,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,radiant energy,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,fluence rate,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,radiant exitance,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,irradiance,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,sound intensity,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
British thermal units/second square foot,energy fluence rate,POSC,Btu/s.ft2,Btu/s.ft2,W/m2,0,11356.53,1,0
Btus/second per square foot deg F,heat transfer coefficient,POSC,Btu/s.ft2.degF,Btu/s.ft2.degF,W/m2.K,0,20441.75,1,0
Btus/second per cubic foot,power per volume,POSC,Btu/s.ft3,Btu/s.ft3,W/m3,0,37258.95,1,0
Btus/second per cubic foot deg F,volumetric heat transfer coefficient,POSC,Btu/s.ft3.degF,Btu/s.ft3.degF,W/m3.K,0,67066.11,1,0
cycle,plane angle,POSC,c,c,rad,0,6.283.185.307,1,0
Coulombs/square centimetre,electric polarization,POSC,C/cm2,C/cm2,C/m2,0,1,0.0001,0
Coulombs/cubic centimeter,charge density,POSC,C/cm3,C/cm3,C/m3,0,1,0.000001,0
coulomb per gram,exposure (radioactivity),POSC,C/g,C/g,C/kg,0,1000,1,0
Coulombs/square millimetre,electric polarization,POSC,C/mm2,C/mm2,C/m2,0,1,0.000001,0
Coulombs/cubic millimetre,charge density,POSC,C/mm3,C/mm3,C/m3,0,1,0.000000001,0
cycles/second,angular velocity,POSC,c/s,c/s,rad/s,0,6.283.185.307,1,0
cycles/second,frequency,POSC,c/s,c/s,rad/s,0,6.283.185.307,1,0
cycles/second,rotational frequency,POSC,c/s,c/s,rad/s,0,6.283.185.307,1,0
cycles/second,circular frequency,POSC,c/s,c/s,rad/s,0,6.283.185.307,1,0
cycles/second,angle per time,POSC,c/s,c/s,rad/s,0,6.283.185.307,1,0
cycles/second,rotational velocity,POSC,c/s,c/s,rad/s,0,6.283.185.307,1,0
calorie,energy,POSC,cal,cal,J,0,4.184,1,0
calorie,work,POSC,cal,cal,J,0,4.184,1,0
calories/cubic centimetre,normal stress,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,shear stress,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,modulus of elasticity,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,shear modulus,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,modulus of rigidity,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,bulk modulus,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,modulus of compression,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,electromagnetic energy density,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/cubic centimetre,radiant energy density,POSC,cal/cm3,cal/cm3,J/m3,0,4.184,0.000001,0
calories/gram,specific energy,POSC,cal/g,cal/g,J/kg,0,4184,1,0
calories/gram degree Kelvin,specific heat capacity,POSC,cal/g.K,cal/g.K,J/kg.K,0,4184,1,0
calories/gram degree Kelvin,massic heat capacity,POSC,cal/g.K,cal/g.K,J/kg.K,0,4184,1,0
calories/hour centimetre degree Celsius,thermal conductivity,POSC,cal/h.cm.degC,cal/h.cm.degC,W/m.K,0,0.1162222,1,0
calories/hour centimetre squared,density of heat flow rate,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,poynting vector,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,radiant energy,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,fluence rate,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,radiant exitance,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,irradiance,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,sound intensity,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour centimetre squared,energy fluence rate,POSC,cal/h.cm2,cal/h.cm2,W/m2,0,1.162.222,1,0
calories/hour square centimetre deg C,heat transfer coefficient,POSC,cal/h.cm2.degC,cal/h.cm2.degC,W/m2.K,0,1.162.222,1,0
calories/hour cubic centimetre,power per volume,POSC,cal/h.cm3,cal/h.cm3,W/m3,0,1.162.222,1,0
calories/kilogram,specific energy,POSC,cal/kg,cal/kg,J/kg,0,4.184,1,0
calories/pound mass,specific energy,POSC,cal/lbm,cal/lbm,J/kg,0,9.224.141,1,0
calories/milliliter,normal stress,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,shear stress,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,modulus of elasticity,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,shear modulus,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,modulus of rigidity,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,bulk modulus,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,modulus of compression,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,electromagnetic energy density,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/milliliter,radiant energy density,POSC,cal/mL,cal/mL,J/m3,0,4184000,1,0
calories/cubic millimetre,normal stress,POSC,cal/mm3,cal/mm3,J/m3,0,4.184,0.000000001,0
