NAME,QUANTITY_TYPE,CATALOG_NAME,CATALOG_SYMBOL,RP66_SYMBOL,BASE_UNIT
meter-kilogram,mass length,POSC,kg.m,kg.m,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilogram metres/second,momentum,POSC,kg.m/s,kg.m/s,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilogram metres/second,impulse,POSC,kg.m/s,kg.m/s,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilogram metres squared,moment of inertia,POSC,kg.m2,kg.m2,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/joule,mass per energy,POSC,kg/J,kg/J,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/metre,linear density,POSC,kg/m,kg/m,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/metre,linear mass,POSC,kg/m,kg/m,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/metre,mass per length,POSC,kg/m,kg/m,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/square metre,surface density,POSC,kg/m2,kg/m2,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/square metre,areic mass,POSC,kg/m2,kg/m2,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/square metre seconds,mass per time per area,POSC,kg/m2.s,kg/m2.s,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/cubic metre,density,POSC,kg/m3,kg/m3,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/cubic metre,mass density,POSC,kg/m3,kg/m3,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/cubic metre,volumic mass,POSC,kg/m3,kg/m3,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilogram/metre fourth,mass per volume per length,POSC,kg/m4,kg/m4,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
kilograms/second,mass flow rate,POSC,kg/s,kg/s,"The kilogram is the unit of mass (not force), it is equal to the mass of the international prototype of the kilogram."
lumen,luminous flux,POSC,lm,lm,The luminous flux emitted in a solid angle of 1 sr by a point source having a uniform intensity of 1 cd.
lumen second,quantity of light,POSC,lm.s,lm.s,The luminous flux emitted in a solid angle of 1 sr by a point source having a uniform intensity of 1 cd.
lumens/watt,luminous efficacy,POSC,lm/W,lm/W,The luminous flux emitted in a solid angle of 1 sr by a point source having a uniform intensity of 1 cd.
lux,illuminance,POSC,lx,lx,The illuminance produced by a luminous flux of 1 lm uniformly distributed over a surface of 1 m2.
lux seconds,light exposure,POSC,lx.s,lx.s,The illuminance produced by a luminous flux of 1 lm uniformly distributed over a surface of 1 m2.
metre,length,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,breadth,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,height,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,depth,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,thickness,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,radius,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,radius of curvature,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,Cartesian coordinates,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,diameter,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,length of path,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,distance,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,wavelength,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metre,mean free path,POSC,m,m,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metres/degree kelvin,length per temperature,POSC,m/K,m/K,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metres/second,velocity,POSC,m/s,m/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metres/second squared,acceleration linear,POSC,m/s2,m/s2,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres,area,POSC,m2,m2,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/kilogram,mass attenuation coefficient,POSC,m2/kg,m2/kg,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/mol,cross section absorption,POSC,m2/mol,m2/mol,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/second Pascal,unit productivity index,POSC,m2/Pa.s,m2/Pa.s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/second Pascal,mobility,POSC,m2/Pa.s,m2/Pa.s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/second,kinematic viscosity,POSC,m2/s,m2/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/second,thermal diffusivity,POSC,m2/s,m2/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/second,diffusion coefficient,POSC,m2/s,m2/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
square metres/second,area per time,POSC,m2/s,m2/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres,volume,POSC,m3,m3,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/joule,isothermal compressibility,POSC,m3/J,m3/J,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/kilogram,specific volume,POSC,m3/kg,m3/kg,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/kilogram,massic volume,POSC,m3/kg,m3/kg,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/mole,molar volume,POSC,m3/mol,m3/mol,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/second pascal,productivity index,POSC,m3/Pa.s,m3/Pa.s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
(cubic metres/second) per pascal,productivity index,WITSML,m3/Pa/s,m3/Pa/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/pascal second squared,specific productivity index,POSC,m3/Pa2.s2,m3/Pa2.s2,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/second,volume flow rate,POSC,m3/s,m3/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/seconds squared,volume per time per time,POSC,m3/s2,m3/s2,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/std cubic metres. 0 deg C,volume per standard volume,POSC,m3/scm(0C),m3/s2,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
cubic metres/std cubic metres. 15 deg C,volume per standard volume,POSC,m3/scm(15C),m3/s2,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metres fourth,second moment of area,POSC,m4,m4,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metres fourth,moment of section,POSC,m4,m4,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
metres fourth/second,volume length per time,POSC,m4/s,m4/s,The metre is the length equal to 1 650 763.73 wavelengths in vacuum of the radiation corresponding to the transition between the levels 2p10 and 5d5 of the krypton-86 atom.
mole,amount of substance,POSC,mol,mol,The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used. the elementary entities must be specified and may be atoms. molecules. ions. electrons. other particles.or specified groups of such particles.
moles/square metre,mole per area,POSC,mol/m2,mol/m2,The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used. the elementary entities must be specified and may be atoms. molecules. ions. electrons. other particles.or specified groups of such particles.
moles/square metre second,mole per time per area,POSC,mol/m2.s,mol/m2.s,The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used. the elementary entities must be specified and may be atoms. molecules. ions. electrons. other particles.or specified groups of such particles.
moles/cubic metre,concentration of B,POSC,mol/m3,mol/m3,The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used. the elementary entities must be specified and may be atoms. molecules. ions. electrons. other particles.or specified groups of such particles.
moles/cubic metre,amount of a substance,POSC,mol/m3,mol/m3,The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used. the elementary entities must be specified and may be atoms. molecules. ions. electrons. other particles.or specified groups of such particles.
moles/second,mole per time,POSC,mol/s,mol/s,The mole is the amount of substance of a system that contains as many elementary entities as there are atoms in 0.012 kilogram of carbon-12. When the mole is used. the elementary entities must be specified and may be atoms. molecules. ions. electrons. other particles.or specified groups of such particles.
newton,force,POSC,N,N,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
newton square metres,force area,POSC,N.m2,N.m2,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
newtons/metre,force per length,POSC,N/m,N/m,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
newtons/metre,energy per area,POSC,N/m,N/m,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
newtons/cubic metre,force per volume,POSC,N/m3,N/m3,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
newtons/cubic metre,pressure per length,POSC,N/m3,N/m3,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
newtons fourth metres/kilogram,parachor,POSC,N4/kg.m7,N4/kg.m7,That force which. when ap0plied to a body having a mass of 1 kg.gives it an acceleration of 1 m/s2.
API neutron units,neutron API unit,POSC,nAPI,nAPI,A unit defined by the American Petroleum Institute for neutron log measurements.
octave,frequency interval,POSC,O,O,The number of octaves between two positive values is the base two logarithm of their ratio.
ohm,resistance,POSC,ohm,ohm,The electric resistance between two points of a conductor when a constant difference of potential of 1 V. applied between these two points. produces in this conductor a current of 1 A.this conductor not being the source of any electromotive force.
ohm,impedance,POSC,ohm,ohm,The electric resistance between two points of a conductor when a constant difference of potential of 1 V. applied between these two points. produces in this conductor a current of 1 A.this conductor not being the source of any electromotive force.
ohm metre,electrical resistivity,POSC,ohm.m,ohm.m,The electric resistance between two points of a conductor when a constant difference of potential of 1 V. applied between these two points. produces in this conductor a current of 1 A.this conductor not being the source of any electromotive force.
ohm per metre,resistivity per length,POSC,ohm/m,ohm/m,The electric resistance between two points of a conductor when a constant difference of potential of 1 V. applied between these two points. produces in this conductor a current of 1 A.this conductor not being the source of any electromotive force.
pascal,force per area,POSC,Pa,Pa,The pressure or stress of 1 N/m2.
pascal,pressure,POSC,Pa,Pa,The pressure or stress of 1 N/m2.
pascal seconds,dynamic viscosity,POSC,Pa.s,Pa.s,The pressure or stress of 1 N/m2.
pascal seconds,mass per time per length,POSC,Pa.s,Pa.s,The pressure or stress of 1 N/m2.
pascal seconds/cubic metre,pressure time per volume,POSC,Pa.s/m3,Pa.s/m3,The pressure or stress of 1 N/m2.
pascal seconds/cubic metre,acoustic impedance,POSC,Pa.s/m3,Pa.s/m3,The pressure or stress of 1 N/m2.
pascal second /cubic metre squared,nonDarcy flow coefficient,POSC,Pa.s/m6,Pa.s/m6,The pressure or stress of 1 N/m2.
pascals/metre,force per volume,POSC,Pa/m,Pa/m,The pressure or stress of 1 N/m2.
pascals/metre,pressure per length,POSC,Pa/m,Pa/m,The pressure or stress of 1 N/m2.
pascals/cubic metre,Darcy flow coefficient,POSC,Pa/m3,Pa/m3,The pressure or stress of 1 N/m2.
pascal/ second,pressure per time,POSC,Pa/s,Pa/s,The pressure or stress of 1 N/m2.
pascal squared,pressure squared,POSC,Pa2,Pa2,The pressure or stress of 1 N/m2.
pH,pH,POSC,pH,Pa2,The negative.base 10 logarithm of the concentration of hydrogen ions in a solution.
radian,plane angle,POSC,rad,rad,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/metre,angle per length,POSC,rad/m,rad/m,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians per cubic metre,angle per volume,POSC,rad/m3,rad/m3,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/second,angular velocity,POSC,rad/s,rad/s,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/second,rotational frequency,POSC,rad/s,rad/s,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/second,circular frequency,POSC,rad/s,rad/s,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/second,angle per time,POSC,rad/s,rad/s,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/second,rotational velocity,POSC,rad/s,rad/s,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
radians/second squared,angular acceleration,POSC,rad/s2,rad/s2,The radian is the plane angle between two radii of a circle that cut of. on the circumference.an arc equal in length to the radius.
siemens,electric conductance,POSC,S,S,The electric conductance of a conductor in which a current of 1 A is produced by an electric potential difference of 1 V.
